,lr,dt,rf,cb,xgb,lgbm
min,0.7245494599999999,0.71403139,0.79424386,0.8038749299999999,0.7977291299999998,0.8007303199999999
mean,0.7307871159999999,0.7224129429999999,0.801530881,0.8104132759999999,0.804629025,0.8084648720000001
mean,0.7362141999999999,0.7305743699999999,0.8087292899999999,0.81612678,0.8103609900000001,0.8140981700000001
